time_data
4.03
3.88
4.01
4.05
3.88
3.85
3.9
3.78
4.01
3.75
3.89
3.49
4.28
3.55
4.13
4.15
3.69
3.91
3.94
3.95
3.86
4.16
3.96
3.93
3.88
3.91
3.83
3.68
3.92
3.83
3.95
4.0
3.95
3.85
3.96
3.93
3.8
3.71
3.93
3.96
3.81
4.05
3.86
3.66
3.9
3.85
3.93
4.0
3.91
3.76
3.91
4.08
3.88
3.96
3.63
3.86
3.8
3.9
3.9
4.0
3.68
3.96
4.13
4.03
4.0
3.99
4.12
4.05
4.33
3.76
3.98
3.81
3.78
3.85
3.76
4.13
3.85
3.9
3.86
4.2
3.93
4.0
4.03
4.16
4.06
4.01
3.86
4.05
3.96
3.82
3.95
4.05
4.13
4.0
3.9
4.07
3.98
4.01
4.03
3.83
3.9
4.11
3.85
4.18
3.84
3.95
3.66
3.93
3.55
3.8
3.75
3.7
4.21
3.78
3.93
3.98
3.93
3.8
4.03
4.08
3.7
3.8
4.0
3.93
4.05
3.7
3.75
3.81
3.65
4.05
3.75
3.9
3.98
3.98
4.15
3.93
3.76
3.95
3.76
4.05
3.73
3.85
3.9
4.05
3.83
3.86
3.98
3.80
3.97
3.78
3.95
3.75
3.91
3.81
3.9
3.91
3.76
3.98
3.91
3.76
3.85
3.98
4.08
3.81
4.13
3.76
4.02
4.0
3.85
3.93
3.6
3.96
3.83
3.93
3.98
3.98
3.8
3.91
4.16
3.68
4.05
3.86
3.8
4.38
3.9
3.95
3.65
3.81
3.91
4.13
4.16
3.72
3.98
3.93
3.9
3.91
4.15
3.9
3.83
4.0
3.81
4.08
3.68
4.03
3.86
3.98
3.91
3.98
3.93
3.9
